,CK_1,CK_2,CK_3,Cd_1,Cd_2,Cd_3
ENSRNA049442722,0,0,0,0,0,0
ENSRNA049442424,0,0,0,0,0,0
ENSRNA049442327,0,0,0,0,0,0
ENSRNA049442288,0,0,0,0,0,0
ENSRNA049442195,0,0,0,0,0,0
ENSRNA049442095,0,0,0,0,0,0
ENSRNA049441959,0,0,0,0,1,0
ENSRNA049441928,0,0,0,0,0,0
ENSRNA049441839,0,0,4,3,0,1
ENSRNA049441771,0,0,0,0,0,0
ENSRNA049441659,0,0,0,0,0,0
ENSRNA049441592,0,0,0,0,0,0
ENSRNA049441495,0,0,0,0,0,0
ENSRNA049441421,0,0,0,0,0,0
ENSRNA049441339,0,0,0,0,0,0
ENSRNA049441259,0,0,0,0,0,0
ENSRNA049441102,1,0,0,0,0,0
ENSRNA049440716,0,0,0,0,0,0
ENSRNA049440515,1,0,0,0,2,4
ENSRNA049451109,0,0,0,0,0,0
ENSRNA049451059,0,0,0,0,0,0
ENSRNA049451040,0,0,0,0,0,0
ENSRNA049450992,0,0,0,0,0,0
ENSRNA049450965,0,0,0,0,0,0
ENSRNA049450913,0,0,0,0,0,0
ENSRNA049450896,0,0,0,0,0,0
ENSRNA049471498,0,0,0,0,0,0
ENSRNA049471512,6,7,5,6,0,2
ENSRNA049471527,2,2,2,1,3,3
ENSRNA049471535,1,0,1,1,2,0
ENSRNA049471546,0,0,0,0,0,0
ENSRNA049471555,79,75,53,74,30,56
ENSRNA049471560,0,0,0,0,0,0
ENSRNA049471578,0,0,0,0,0,0
ENSRNA049471602,7,4,5,4,8,7
ENSRNA049471632,0,0,0,0,0,0
ENSRNA049471650,0,0,0,0,0,0
ENSRNA049471695,2,1,1,3,7,6
ENSRNA049471700,32,29,45,46,77,53
ENSRNA049471707,12,12,6,14,10,9
ENSRNA049471715,28,21,22,44,56,43
ENSRNA049471723,16,17,10,15,14,9
ENSRNA049471743,0,0,0,0,0,0
ENSRNA049471755,0,0,0,0,0,0
ENSRNA049471772,61,45,51,58,44,65
ENSRNA049471778,88,66,74,73,77,104
ENSRNA049471791,0,0,0,0,0,0
ENSRNA049471802,0,0,0,0,0,0
ENSRNA049471835,0,0,0,0,0,0
ENSRNA049471844,0,0,0,0,0,0
ENSRNA049471864,161,118,152,172,210,181
ENSRNA049471882,55,67,37,62,43,56
ENSRNA049471191,0,0,0,0,0,0
ENSRNA049471225,0,0,0,0,0,0
ENSRNA049471239,0,0,0,0,0,0
ENSRNA049471251,8,6,3,4,3,3
ENSRNA049471263,0,0,0,0,0,0
ENSRNA049471273,1,0,0,2,1,2
ENSRNA049471283,0,0,0,0,0,0
ENSRNA049471342,6,8,7,6,4,1
ENSRNA049471325,9,0,0,10,2,1
ENSRNA049471314,0,0,0,0,0,0
ENSRNA049471305,0,0,0,0,0,0
ENSRNA049471293,0,0,0,0,0,0
ENSRNA049471366,2,0,1,3,10,32
ENSRNA049471356,2,1,1,1,0,0
ENSRNA049471381,19,22,22,14,25,25
ENSRNA049472690,1,0,2,3,0,1
ENSRNA049472701,0,0,0,0,0,0
ENSRNA049472720,0,0,0,0,0,0
ENSRNA049472737,0,0,0,0,0,0
ENSRNA049472745,0,0,0,0,0,0
ENSRNA049472760,2,3,7,9,2,5
ENSRNA049472768,0,0,0,0,0,0
ENSRNA049472772,0,0,0,0,0,0
ENSRNA049472779,0,0,0,0,0,0
ENSRNA049472788,0,4,0,1,3,0
ENSRNA049472799,0,0,0,0,0,0
ENSRNA049472807,0,0,0,0,0,0
Os01g0873800,406,310,334,430,488,518
Os01g0734100,136,128,124,112,121,127
Os01g0563000,1778,2769,2186,1845,1910,1720
Os01g0973300,794,733,578,642,672,682
Os01g0889800,907,786,855,1231,1312,1374
Os01g0878400,18,23,7,11,44,35
Os01g0544450,10,7,18,7,4,3
Os01g0810300,1167,1133,1017,1208,1405,1506
Os01g0855700,3,1,1,0,2,2
Os01g0932500,0,0,0,0,0,0
Os01g0923000,794,804,660,520,704,802
Os01g0606200,4,0,0,2,0,0
Os01g0647700,347,339,326,309,342,223
Os01g0816400,2559,2037,2017,1957,1936,1899
Os01g0848475,0,0,0,0,0,0
Os01g0688200,73,76,74,38,64,53
Os01g0596600,0,0,0,0,0,0
Os01g0646700,915,920,818,806,938,963
Os01g0633900,25,28,18,39,33,59
Os01g0852100,184,173,185,119,162,150
Os01g0127200,0,0,0,0,0,0
Os01g0604000,6,11,11,7,7,10
Os01g0510500,644,580,512,631,577,581
Os01g0116900,1025,1004,743,1184,1320,1430
Os01g0934900,7,11,7,7,5,8
Os01g0823951,1,2,4,2,2,2
Os01g0661000,70,65,75,87,58,71
Os01g0382200,0,0,0,0,0,0
Os01g0362533,28,48,25,53,30,45
Os01g0860050,0,0,0,0,0,0
Os01g0229600,41,18,19,44,61,181
Os01g0699950,0,0,0,0,0,0
Os01g0750666,0,0,0,0,0,0
Os01g0833700,155,165,114,127,143,145
Os01g0329800,328,253,221,246,148,179
Os01g0205100,398,492,401,392,323,350
Os01g0275900,566,903,500,553,572,606
Os01g0127450,36,32,38,49,38,48
Os01g0570700,1785,2152,1809,1666,1656,1439
Os01g0226600,61,60,35,61,56,27
Os01g0881966,259,257,210,259,308,234
Os01g0564600,0,0,0,0,0,0
Os01g0164800,22,20,10,15,7,4
Os01g0837600,3893,2970,3222,4894,6702,3850
Os01g0221700,715,587,690,841,1022,998
Os01g0290700,80,70,71,33,56,37
Os01g0200400,125,128,91,72,79,116
Os01g0976600,454,445,345,400,277,292
Os01g0668100,0,0,0,0,0,0
Os01g0676900,0,0,0,0,0,0
Os01g0172900,4,4,5,8,3,4
Os01g0159600,0,0,0,0,0,0
Os01g0217400,0,0,0,0,0,2
Os01g0764300,156,179,152,130,108,145
Os01g0514700,3,0,0,3,0,0
Os01g0228300,681,804,582,618,546,421
Os01g0727200,33,36,20,27,13,14
Os01g0818400,172,172,135,148,171,141
Os01g0329075,0,0,0,0,0,0
Os01g0351300,1064,1104,995,1020,1136,1078
Os01g0820750,3,2,3,3,0,0
Os01g0337160,33,63,50,95,143,116
Os01g0620400,5,1,5,4,11,9
Os01g0299300,20,48,41,41,33,39
Os01g0967700,3,3,3,4,2,3
Os01g0772900,2,1,0,2,0,1
Os01g0175733,0,0,0,0,0,0
Os01g0700100,326,231,200,303,188,129
Os01g0354175,0,0,2,0,1,0
Os01g0566100,2562,2200,2438,2049,3481,3092
Os01g0742766,14,16,11,8,15,7
Os01g0512400,1,0,3,1,4,0
Os01g0854800,0,0,0,0,0,0
Os01g0766966,26,31,25,33,65,58
Os01g0938200,116,89,110,103,133,146
Os01g0327500,0,0,0,0,0,0
Os01g0868900,6,11,5,5,5,0
Os01g0545550,0,0,0,0,0,0
Os01g0911200,2770,2906,2134,2117,1986,1891
Os01g0898800,356,402,314,361,617,708
Os01g0240600,0,0,0,0,0,0
Os01g0898600,5,13,7,11,14,6
Os01g0926400,21,17,17,9,7,5
Os01g0929000,52,60,43,41,41,47
Os01g0840700,267,273,236,262,244,238
Os01g0839500,818,818,672,988,1217,1114
Os01g0373800,92,103,62,30,17,25
Os01g0618601,0,0,0,0,0,0
Os01g0207700,0,0,0,0,0,0
Os01g0176000,54,70,42,51,23,47
Os01g0834200,1843,1780,1505,1447,1220,1324
Os01g0868200,170,216,168,164,159,176
Os01g0137550,0,0,0,0,0,0
Os01g0182100,99,153,104,170,222,126
Os01g0904200,884,784,799,867,907,880
Os01g0825500,55,40,50,79,61,82
Os01g0833500,23,17,18,17,9,7
Os01g0190400,23,17,4,27,16,10
Os01g0901900,1721,1388,1417,1830,2030,1848
Os01g0974600,1,1,0,1,0,0
Os01g0274201,0,0,0,0,0,0
Os01g0653350,0,2,0,0,0,3
Os01g0641050,7,4,3,4,8,8
Os01g0114650,0,0,0,0,0,0
Os01g0743150,0,0,0,0,0,0
Os01g0561800,3,2,0,0,1,1
Os01g0134700,1480,2612,1593,1588,1282,821
Os01g0784000,116,111,126,106,94,124
Os01g0275600,3804,3465,3380,3978,4051,4175
Os01g0229800,0,0,0,0,0,0
Os01g0829400,21,31,37,74,63,72
Os01g0303401,0,0,0,0,0,0
Os01g0779400,3427,3516,2945,3106,2887,2857
Os01g0808950,0,0,0,0,0,0
Os01g0867900,1319,1218,1590,1714,2368,2116
Os01g0734150,0,0,0,0,0,0
Os01g0937800,0,0,0,0,0,0
Os01g0734000,30,1,4,24,4,15
Os01g0870500,42,49,96,132,201,225
Os01g0762300,386,395,563,844,1251,1252
Os01g0689900,752,1042,681,689,533,531
Os01g0720500,4,2,11,2,1,0
Os01g0548900,0,0,0,0,0,0
Os01g0957600,0,0,0,0,0,0
Os01g0677000,0,0,0,0,0,0
Os01g0504950,4,4,2,0,2,0
Os01g0668200,54,47,49,46,44,71
Os01g0698200,0,0,0,0,0,0
Os01g0341000,18,19,15,18,23,30
Os01g0882400,89,115,58,45,33,57
Os01g0138300,4,5,2,7,3,4
Os01g0610050,6,11,7,23,22,13
Os01g0862300,1265,1196,1009,1063,904,881
Os01g0957100,2,2,0,3,1,0
Os01g0836600,9,10,7,6,5,9
Os01g0218350,0,0,0,0,0,0
Os01g0203300,91,60,71,60,67,93
Os01g0686400,158,188,109,137,143,105
Os01g0823300,595,731,579,676,467,556
Os01g0216400,0,0,0,0,0,0
Os01g0673800,2040,2128,1917,2248,2381,2414
Os01g0571800,2,0,0,0,0,2
Os01g0308300,0,0,0,0,0,0
Os01g0172400,11519,14289,8903,8282,8299,6787
Os01g0664200,62,33,22,29,11,5
Os01g0338200,1578,1483,1214,1150,1200,1250
Os01g0795300,51,40,26,33,19,14
Os01g0212700,0,0,0,0,0,0
Os01g0860900,7,10,7,3,9,14
Os01g0760400,73,108,68,69,67,45
Os01g0853000,2,2,4,4,1,3
Os01g0532700,70,64,60,91,83,100
Os01g0724700,8,12,1,14,7,5
Os01g0114700,1,2,0,3,0,4
Os01g0153700,47,95,68,77,78,75
Os01g0624500,3025,2816,2176,2184,2545,2135
Os01g0279800,555,511,428,605,570,592
Os01g0842200,7299,5613,6724,6974,10062,10260
Os01g0878900,0,0,2,2,0,0
Os01g0366501,0,0,0,0,0,0
Os01g0746000,0,0,0,0,0,0
Os01g0818100,0,0,0,0,0,0
Os01g0745300,694,685,908,1033,1296,1151
Os01g0392100,368,476,327,435,338,344
Os01g0699900,4,1,0,0,0,0
Os01g0535400,280,303,240,275,331,326
Os01g0915350,824,677,638,819,779,866
Os01g0810200,105,90,106,107,118,136
Os01g0891300,1,0,2,0,1,0
Os01g0673650,0,0,1,1,1,5
Os01g0283100,1153,1281,942,1058,1169,1002
Os01g0280600,0,0,0,2,0,0
Os01g0709400,391,422,328,362,353,384
Os01g0511300,636,565,439,476,476,427
Os01g0829000,956,738,743,1089,1010,1074
Os01g0235800,754,701,668,717,830,716
Os01g0589500,1070,1091,953,1049,998,1093
Os01g0942900,3030,2984,2157,2142,1739,1672
Os01g0298400,40,35,14,38,30,26
Os01g0519100,61,81,60,68,88,76
Os01g0162101,0,0,0,0,0,0
Os01g0924500,11,6,7,9,9,7
Os01g0281200,0,0,0,0,0,0
Os01g0339400,0,0,0,1,0,4
Os01g0660900,85,118,97,129,133,150
Os01g0843800,0,0,0,0,0,0
Os01g0372700,39,52,41,41,20,27
Os01g0885700,53,63,31,9,4,3
Os01g0937366,0,0,0,0,0,0
Os01g0965800,1,1,2,0,1,0
Os01g0125850,0,0,0,0,0,0
Os01g0748300,0,0,0,0,0,0
Os01g0208600,1898,1729,1495,1481,1471,1637
Os01g0284900,153,143,96,109,66,73
Os01g0612600,3054,3417,2984,3548,4304,3764
Os01g0781600,151,115,123,151,110,153
Os01g0820700,2,4,3,0,0,0
Os01g0754100,690,771,511,696,822,794
Os01g0150800,22,16,28,27,24,13
Os01g0916350,34,12,10,13,33,23
Os01g0550300,11528,12304,9288,11259,7979,8497
Os01g0207200,9,15,7,14,7,10
Os01g0167700,40,32,19,34,30,35
Os01g0784200,4,3,3,2,0,1
Os01g0331100,13,16,14,35,11,20
Os01g0846550,0,0,0,0,0,0
Os01g0844400,372,468,292,285,237,262
Os01g0935350,0,0,0,0,0,0
Os01g0114402,1,2,0,0,0,0
Os01g0943100,0,10,1,2,0,2
Os01g0761400,0,0,2,0,1,1
Os01g0313600,0,0,0,0,0,0
Os01g0619900,148,56,241,195,348,294
Os01g0558500,1057,929,778,818,1039,1018
Os01g0909150,1,0,0,0,0,0
Os01g0576100,0,0,0,0,0,0
Os01g0233400,0,0,0,12,0,14
Os01g0143400,0,0,0,0,0,0
Os01g0589300,1459,1605,1179,1464,1460,1363
Os01g0153950,0,0,0,0,0,0
Os01g0824000,13,24,10,26,31,15
Os01g0817400,0,0,0,0,0,0
Os01g0801700,491,444,369,417,447,445
Os01g0856850,1,0,0,0,2,0
Os01g0314100,1434,1043,968,808,693,871
Os01g0147900,20,23,11,16,25,28
Os01g0705700,3,14,14,6,6,4
Os01g0182600,8668,7949,8117,7137,9389,8898
Os01g0651500,0,0,0,0,0,0
Os01g0813400,3136,3637,2722,2873,2904,2762
Os01g0623200,226,134,163,208,121,168
Os01g0584100,3,1,0,2,6,3
Os01g0159250,0,1,0,0,0,3
Os01g0830300,116,145,129,111,136,144
Os01g0834125,0,0,0,0,0,0
Os01g0655400,2108,1983,1986,1903,2204,2272
Os01g0868400,0,0,0,0,0,0
Os01g0649200,657,864,589,533,376,300
Os01g0687850,0,1,0,1,2,0
Os01g0668500,0,0,0,2,0,0
Os01g0939901,0,8,5,6,0,5
Os01g0117500,5,2,1,11,3,8
Os01g0156300,7,6,4,7,8,8
Os01g0858900,410,380,362,514,606,767
Os01g0308200,4,0,1,3,2,0
Os01g0678100,88,85,75,178,289,462
Os01g0919400,3044,3428,3092,4269,5553,4802
Os01g0627933,2442,2823,2442,2607,3252,2520
Os01g0546900,296,286,238,239,203,209
Os01g0902200,416,317,412,529,568,562
Os01g0871600,1,1,0,4,0,8
Os01g0773200,927,880,760,859,802,777
Os01g0978400,82,103,125,179,227,268
Os01g0718500,3,1,0,0,0,1
Os01g0750050,0,0,0,0,0,0
Os01g0223200,219,194,207,271,192,172
Os01g0886700,0,0,1,0,2,2
Os01g0235100,358,345,270,450,353,395
Os01g0649900,10,7,4,9,1,23
Os01g0618900,140,97,114,239,262,239
Os01g0195000,370,501,368,516,452,387
Os01g0115566,5,3,4,4,3,6
Os01g0975800,1,0,0,0,0,0
Os01g0882250,0,0,0,0,0,0
Os01g0749200,1875,1398,1445,2402,2599,2676
Os01g0705200,26,0,0,5,0,3
Os01g0696100,0,0,0,0,0,0
Os01g0846400,27,9,12,28,32,78
Os01g0859500,102,71,109,136,188,102
Os01g0528000,62,65,55,73,75,71
Os01g0654450,8,5,11,8,4,4
Os01g0301000,304,261,233,237,259,228
Os01g0269950,0,0,0,0,0,0
Os01g0109366,2,0,3,1,0,3
Os01g0706100,43,25,35,46,24,42
Os01g0622400,0,0,0,0,0,0
Os01g0925400,205,261,191,210,174,230
Os01g0232100,7,1,3,1,11,1
Os01g0612500,12,10,11,18,7,17
Os01g0225600,0,0,0,0,0,0
Os01g0289600,1750,2921,1726,1261,1046,791
Os01g0788900,31,45,35,33,42,44
Os01g0676200,391,407,485,566,903,942
Os01g0645200,3719,3749,2997,3996,3413,2859
Os01g0522800,0,0,0,0,0,0
Os01g0662800,0,0,0,0,0,0
Os01g0853800,299,509,412,414,469,457
Os01g0379101,0,0,0,0,0,5
Os01g0654300,262,255,218,231,235,263
Os01g0180850,0,0,0,0,0,0
Os01g0144700,61,57,56,51,79,86
Os01g0180300,2271,1774,2323,2533,3312,3753
Os01g0132766,147,170,161,243,263,242
Os01g0617500,2855,2217,2083,2276,2193,2051
Os01g0121900,0,0,0,0,0,0
Os01g0507500,987,1190,1022,1019,1167,1129
Os01g0232200,0,0,0,1,0,0
Os01g0882500,936,1441,1942,2737,4701,4229
Os01g0884200,10,0,0,2,0,3
Os01g0154500,0,2,0,1,0,6
Os01g0604900,1,1,1,0,0,0
Os01g0212900,0,0,0,0,0,0
Os01g0147200,1623,1555,1403,1374,1627,1452
Os01g0839300,329,357,290,296,194,195
Os01g0221100,431,443,475,524,1198,939
Os01g0286900,31,27,35,41,57,35
Os01g0148700,394,517,361,491,534,444
Os01g0229100,886,900,759,878,750,816
Os01g0287400,18,19,18,14,26,19
Os01g0176050,8,12,14,6,15,6
Os01g0363300,108,89,120,265,400,502
Os01g0306400,1,0,0,0,0,2
Os01g0158100,85,83,80,89,126,172
Os01g0878000,0,0,0,1,1,1
Os01g0971700,1343,1544,1434,1448,1658,1592
Os01g0199400,184,133,151,151,136,108
Os01g0646400,35,48,34,33,31,47
Os01g0129550,0,0,0,0,0,0
Os01g0276600,66,87,97,80,100,91
Os01g0118066,239,175,174,209,177,236
Os01g0744000,20,23,19,22,31,27
Os01g0864500,1051,1609,1043,957,517,414
Os01g0622800,0,1,0,0,2,0
Os01g0610700,366,424,317,360,333,316
Os01g0285300,4,4,5,2,5,3
Os01g0270501,0,0,0,0,0,0
Os01g0627800,265,298,64,164,0,156
Os01g0572700,169,235,197,184,259,235
Os01g0888300,111,105,161,124,177,190
Os01g0355600,1577,1555,1148,1233,1077,963
Os01g0690600,470,545,307,277,157,140
Os01g0151600,661,463,411,392,500,479
Os01g0896800,2439,2330,1590,1932,1618,1702
Os01g0660700,0,1,0,0,1,1
Os01g0915300,554,414,440,568,631,595
Os01g0777200,1158,626,947,1035,1327,1014
Os01g0771350,258,264,229,226,204,200
Os01g0829600,0,0,1,0,0,0
Os01g0804200,611,991,602,642,495,341
Os01g0648500,106,84,92,150,166,168
Os01g0935700,944,1047,748,792,635,642
Os01g0885000,210,267,234,179,161,142
Os01g0720800,301,333,388,171,193,211
Os01g0218900,501,532,424,436,550,575
Os01g0720900,0,0,0,0,0,0
Os01g0810100,546,444,442,548,498,542
Os01g0806801,0,0,0,0,0,0
Os01g0193700,0,0,0,0,0,0
Os01g0150950,0,1,0,1,0,0
Os01g0766900,199,160,159,181,200,229
Os01g0248450,2,12,7,4,2,2
Os01g0585200,19,43,17,19,4,2
Os01g0860500,0,0,0,0,0,0
Os01g0846900,8,4,1,3,4,3
Os01g0909000,5,8,4,9,3,9
Os01g0784750,21,15,13,19,5,7
Os01g0897000,137,147,158,194,262,213
Os01g0776700,1299,1568,1264,1465,1600,1536
Os01g0910200,88,84,94,134,134,163
Os01g0191200,364,115,1489,3205,7582,9082
Os01g0876300,0,0,1,0,1,7
Os01g0207600,0,0,0,0,0,0
Os01g0249100,0,0,0,0,0,0
Os01g0973400,2264,1757,1907,3155,3377,3479
Os01g0142100,2288,1952,2376,3315,3454,3330
Os01g0935400,7,20,6,17,24,26
Os01g0186200,479,374,590,396,756,698
Os01g0339600,15,21,18,31,23,22
Os01g0512100,1251,1113,965,1007,1054,1101
Os01g0350900,1433,1620,1585,1647,2041,1852
Os01g0728325,3,1,0,1,0,0
Os01g0726700,1,1,1,0,1,2
Os01g0917900,0,0,0,0,0,0
Os01g0891350,0,0,0,0,0,0
Os01g0144800,19,29,11,17,17,15
Os01g0818000,1007,905,818,1097,964,1027
Os01g0950866,0,0,0,0,0,0
Os01g0812025,0,0,0,0,0,0
Os01g0599550,579,456,501,807,811,808
Os01g0605000,10,4,5,10,6,6
Os01g0946800,0,0,0,0,0,0
Os01g0248900,0,0,0,0,0,0
