"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os10g0517500",7808.68655324466,-2.4400057647276,0.232346531343781,-10.5015803361289,8.49459327606482e-26,9.40393948626756e-22
"Os03g0277700",229.012756773283,-4.29208982789246,0.513664667469201,-8.35582063496671,6.49793806136354e-17,1.19892372180542e-13
"Os07g0538000",100.989290539399,-5.42909100567133,0.649376632345749,-8.36046561463072,6.24712048745719e-17,1.19892372180542e-13
"Os09g0396900",62.9774366334837,-5.75688891750452,0.702389173219682,-8.19615269853251,2.48203007651287e-16,3.66364186160476e-13
"Os02g0173200",4139.15998196038,-1.13093103565543,0.14041449456922,-8.05423285626623,7.99788312076158e-16,8.85405650883911e-13
"Os04g0486950",2942.56129667265,-1.66594985267536,0.212345610392454,-7.84546405078199,4.31355403408336e-15,4.15245216820172e-12
"Os04g0654400",248.528996776379,-1.82322230644405,0.232685531612309,-7.83556370613464,4.66743925844444e-15,4.30590719255076e-12
"Os04g0659800",209.20321237521,-2.13831228656556,0.273974172092697,-7.80479513901801,5.95982759362428e-15,5.27826171001741e-12
"Os06g0203600",643.706848796847,-1.41958805595479,0.188380737273932,-7.53573893221636,4.85577197943776e-14,3.58372157989105e-11
"Os03g0738600",490.015234186191,-3.75325633198732,0.500982325390263,-7.49179390523117,6.79385463820453e-14,4.70071048576521e-11
"Os12g0547600",12272.4965726076,-1.08128054360124,0.145717627162797,-7.42038258963154,1.16782493721109e-13,7.60494468670316e-11
"Os07g0628500",132.60586076546,-2.08321780432926,0.286404154665927,-7.27369966667979,3.49773169646093e-13,1.93608193728354e-10
"Os03g0701200",816.636452716092,-1.68317578383669,0.238207609870932,-7.06600341084269,1.59459497891296e-12,7.11530184273555e-10
"Os10g0418100",173.467660064763,-1.86177021366882,0.26615114239231,-6.99516145951592,2.64953620898743e-12,1.0666069309671e-09
"Os01g0714800",188.085415094232,-3.76167184533203,0.540064877594386,-6.96522214532384,3.2788595016908e-12,1.296379075481e-09
"Os02g0191300",2499.49417710197,-1.60950236562046,0.235119789497,-6.84545681613496,7.62322135504559e-12,2.67913879400102e-09
"Os02g0526400",26123.9106382701,-1.4485212083187,0.214255920223851,-6.76070564027036,1.37321268973831e-11,4.53795554679043e-09
"Os08g0206400",206.050623698319,-1.60422006655051,0.240878872527358,-6.65986206975588,2.74084685489039e-11,8.42848475196223e-09
"Os05g0542800",365.778186882729,-1.04055408265334,0.157958277217504,-6.5875248893765,4.47219033553252e-11,1.33809143539224e-08
"Os01g0837000",3073.26597249604,-1.20772507331849,0.184907431736693,-6.53151180553024,6.51090890219042e-11,1.89681623688682e-08
"Os08g0542700",143.492919200563,-2.07887257588901,0.318914999446101,-6.51857886740871,7.09766162931048e-11,2.04090033940991e-08
"Os09g0450300",923.731285638876,-1.24160875977225,0.191720388124821,-6.47614357511053,9.40965164882144e-11,2.63720376147539e-08
"Os11g0112200",484.136920762976,-2.27234759309938,0.352149659912129,-6.45278940114949,1.0980991081478e-10,2.96500150652444e-08
"Os12g0131100",891.269942344074,-1.03643623798477,0.160792196035759,-6.44581182132912,1.14983257308754e-10,3.06728228924473e-08
"Os03g0388500",4658.31815623482,-1.21734396294098,0.189709283918867,-6.4168918768446,1.39084629286205e-10,3.6229091494422e-08
"Os11g0106700",9135.86079917414,-1.84415520705808,0.288078766323322,-6.40156590016881,1.53791406585846e-10,3.86942674229228e-08
"Os12g0106000",6374.50386185364,-2.01369732939131,0.314676924693114,-6.39925323839728,1.56138695964384e-10,3.8843447947724e-08
"Os01g0124401",224.104988381211,-3.02514468042749,0.476257657208829,-6.35190770087928,2.12660917360608e-10,5.11796236008829e-08
"Os06g0561000",142.594851113832,-3.36982688245895,0.532261216027923,-6.33115241348369,2.43336823958763e-10,5.55435115388759e-08
"Os09g0492700",1296.35708014099,-1.58931067614429,0.250994337158518,-6.3320579027269,2.41912661347877e-10,5.55435115388759e-08
"Os05g0363500",466.85355267248,-1.02611317241561,0.16255536443082,-6.31239194109958,2.74755302642893e-10,6.14480520789525e-08
"Os07g0204100",953.239528455071,-1.06293912651329,0.168510664982871,-6.30784482763352,2.82947675172032e-10,6.26474447598397e-08
"Os05g0401500",540.378251468863,-1.06675140412291,0.169559840302299,-6.29129752788788,3.14823255398075e-10,6.83382519389097e-08
"Os09g0364400",99.4487432861878,-1.85289555102309,0.294483618915317,-6.29201569122225,3.13369797293756e-10,6.83382519389097e-08
"Os01g0885700",54.3356862435702,-3.23202295036417,0.515588014223744,-6.26861536963815,3.64272681041032e-10,7.83044799119367e-08
"Os08g0190100",641.969639855025,-2.0998081940565,0.337395782537748,-6.22357570169559,4.8595017439513e-10,9.96242852896535e-08
"Os03g0277600",270.185812473995,-1.67481114561791,0.269276153119062,-6.21967866897366,4.98174053617951e-10,1.00555943786457e-07
"Os01g0214500",376.427494518049,-1.50504764506155,0.244286008024928,-6.16100634346594,7.2284095501715e-10,1.39168883348128e-07
"Os04g0301700",990.436332897749,-1.05783680340309,0.172084001286845,-6.14721180058918,7.88568011267146e-10,1.49228071260392e-07
"Os03g0834050",463.740240256935,-1.19364054364776,0.194999177595409,-6.12125937333114,9.28386378234068e-10,1.67117095938866e-07
"Os09g0452900",1028.33271237624,-1.20494157134934,0.19681233396933,-6.12228688643623,9.22417467920556e-10,1.67117095938866e-07
"Os02g0551100",2229.56953292841,-1.10534007764398,0.180791816315442,-6.11388336137632,9.7235386587075e-10,1.72231095553954e-07
"Os01g0838600",79.2156456422876,-2.21186713485533,0.363264855502993,-6.08885528381952,1.13720853477149e-09,1.93684108987505e-07
"Os05g0142600",340.782436336755,-2.72340595483958,0.448241180456871,-6.07576026830855,1.23401650902385e-09,2.05431274633813e-07
"Os08g0189600",403.105164260294,-1.94294814932053,0.320528481535383,-6.06170203662868,1.34688560665182e-09,2.19274957477044e-07
"Os03g0322200",273.781355676725,-1.96870402482343,0.327615809811608,-6.00918504499376,1.86458210602553e-09,2.90334380333611e-07
"Os06g0665800",1592.20811696039,-1.01310036099117,0.168809225187785,-6.00145140091835,1.9556147853331e-09,3.00689353903195e-07
"Os10g0577600",1469.97753173332,-1.30314423767321,0.21747343498293,-5.99219963475307,2.07021566675368e-09,3.13949623819132e-07
"Os08g0112300",460.260090093318,-2.38355692804464,0.398248557133379,-5.98509871624308,2.16258660429814e-09,3.23525878417332e-07
