"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os05g0111300",979.104312737037,5.11047556576354,0.348129210047748,14.6798240948026,8.68153751884595e-49,1.92217922204768e-44
"Os11g0127800",1124.16409200854,2.17813793439163,0.214827338950255,10.1390165005767,3.70813984290569e-24,2.73673080872583e-20
"Os06g0642500",788.747619089756,1.64003897297463,0.1627826533476,10.0750229784777,7.124413900805e-24,3.94354120444309e-20
"Os12g0124000",1458.46193235613,2.01622266064808,0.206547750400997,9.76153289848826,1.64647475435831e-22,7.29091950724949e-19
"Os12g0267900",756.022738879742,2.48887568645531,0.270447280143548,9.20281278160485,3.48700099579146e-20,1.28676148413031e-16
"Os11g0182900",278.308572828944,4.75221011669272,0.519867067641009,9.14120245826829,6.17617216167124e-20,1.95352325473661e-16
"Os08g0109400",2502.39031282016,1.44052459555177,0.166056851426868,8.67488804691798,4.13957518846104e-18,1.14567917809645e-14
"Os12g0406000",1944.94601541575,1.25407717848996,0.147921771701877,8.4779756493009,2.29145910175382e-17,5.07351959719313e-14
"Os09g0403300",234.46431753293,4.26933118933298,0.503534964865139,8.4787184351268,2.27687947623055e-17,5.07351959719313e-14
"Os02g0530100",1150.36592216373,2.42414941781647,0.29448032879785,8.23195704688498,1.84179301303049e-16,2.91279565010772e-13
"Os03g0787200",135.582754438403,1.95514347699312,0.241429866344477,8.09818398442668,5.57856576761419e-16,7.32300539472451e-13
"Os05g0589700",195.092129484261,2.70910670399916,0.334572193083445,8.09722612937977,5.62264991239405e-16,7.32300539472451e-13
"Os04g0532400",695.806052919646,1.86425130977095,0.230484046106427,8.08841801098079,6.04446537311675e-16,7.43502821256545e-13
"Os12g0169600",1093.23472140032,1.57254534110782,0.195040365186605,8.06266610300535,7.46482128666177e-16,8.69887411094622e-13
"Os07g0209100",820.434678740476,2.35475348112064,0.294023641663317,8.00872157014174,1.15906986792493e-15,1.16649845207845e-12
"Os04g0191400",1347.30655685043,1.0542818042622,0.1367930419457,7.70713034278961,1.28678359924911e-14,1.0957952181144e-11
"Os02g0197600",1100.16315419062,2.26132126847675,0.293592156236496,7.70225368914556,1.33687140125913e-14,1.09628406278809e-11
"Os01g0117300",445.680311750887,3.77427047720585,0.492153093768326,7.66889515680365,1.7348416412171e-14,1.37182602779242e-11
"Os06g0699500",1003.70475523611,1.22286385257452,0.160509067873086,7.61865898779898,2.56324639192257e-14,1.95699442632957e-11
"Os11g0707000",129864.958934002,1.2185039589595,0.161984896027534,7.52233071626861,5.38082644741486e-14,3.84312510878104e-11
"Os08g0499300",1715.0882419122,1.53633212348238,0.206286344939888,7.44757062776048,9.50746546503205e-14,6.37893311700832e-11
"Os01g0881300",1269.8993304754,2.63890629155805,0.357076771826258,7.39030511019086,1.46492270891453e-13,9.26710105659329e-11
"Os01g0974200",885.600092924475,1.16297809363403,0.157944741069949,7.36319605044011,1.79558359526822e-13,1.10433378841205e-10
"Os02g0762100",1777.53814559962,1.10764983108183,0.150865696640224,7.34195947620413,2.10489134122288e-13,1.2595783563788e-10
"Os09g0491820",2736.55030364069,1.47936641650554,0.20167313459228,7.33546597317664,2.20951373656193e-13,1.28739062213731e-10
"Os01g0286600",1795.99081055563,1.07722142609186,0.147640966310149,7.2962230809906,2.95958051147689e-13,1.68020697704128e-10
"Os10g0209700",812.759460255995,2.01747047441496,0.277660962364369,7.2659492974294,3.70427521077675e-13,2.00039896199532e-10
"Os01g0117266",94.5397821568522,3.92201093403809,0.541977391215667,7.23648439511642,4.60464618832768e-13,2.42741598228007e-10
"Os07g0518500",160.792211290999,2.17209696133512,0.303424088645558,7.15861740256369,8.14947788222325e-13,4.19622301837919e-10
"Os02g0704000",547.640254130136,1.89365640822359,0.26529643292599,7.13788869054214,9.47753265292683e-13,4.76913751064666e-10
"Os04g0191500",1105.83959312991,1.50230917132631,0.210650500245655,7.13176170754094,9.90923229114385e-13,4.8755624924048e-10
"Os01g0633400",335.003851680488,1.75413143181318,0.246849961171369,7.10606322759526,1.19399731153533e-12,5.74702053797907e-10
"Os07g0119300",2457.20748853185,1.13945166879897,0.16070316078895,7.09041230555136,1.3371302561345e-12,6.29902148959021e-10
"Os01g0101200",2840.92159628496,1.78483867773039,0.252360226601414,7.07258311568019,1.52075839166205e-12,7.01481490620615e-10
"Os01g0198900",258.697493590409,1.46086685499865,0.206857398295165,7.06219292632764,1.63895214299044e-12,7.11530184273555e-10
"Os12g0105300",1698.91103232751,1.08042613808114,0.152929053622577,7.06488474549509,1.60749357692254e-12,7.11530184273555e-10
"Os04g0403200",1761.57025070163,1.45282934814723,0.205949234284839,7.0543080832138,1.73461675521825e-12,7.38579799563215e-10
"Os02g0277700",530.710542715135,1.31139970421937,0.186080187418569,7.0474977611104,1.82163756763464e-12,7.60997686509406e-10
"Os03g0323200",7045.0008291886,1.15237119620564,0.163661002834262,7.04120820628623,1.90579975330983e-12,7.81413191445054e-10
"Os08g0248800",254.580101209531,1.57520686617227,0.227619691047227,6.92034533095577,4.50543988811598e-12,1.71991283728924e-09
"Os01g0110100",85.3908179485787,2.8415850920897,0.410826651251822,6.91674963985702,4.62123722508431e-12,1.73421717628122e-09
"Os09g0460500",594.194685484429,2.5863468991216,0.374634987591661,6.90364484040296,5.06849265177485e-12,1.87035826338245e-09
"Os03g0389100",363.871638213376,2.18035951786825,0.317872636647994,6.85922368424161,6.92357568196472e-12,2.51303097007182e-09
"Os04g0444800",1321.02717553364,1.604076065472,0.234313979595547,6.84584021935366,7.60283001757918e-12,2.67913879400102e-09
"Os06g0118700",157.838221417045,3.37167252834213,0.493677366510211,6.82970854462374,8.50873216301747e-12,2.9436224815839e-09
"Os03g0826800",1014.27559327866,1.88909410059132,0.277297013990958,6.81252954513577,9.58973527092457e-12,3.26655890205448e-09
"Os05g0586050",780.766740244835,1.5808475039686,0.232284848949502,6.8056419138739,1.0059965500849e-11,3.37481357809541e-09
"Os05g0304600",3969.57343153699,1.43432983492405,0.212975405603517,6.73472052258585,1.64245324800462e-11,5.3478760829515e-09
"Os04g0470901",336.722356904045,1.614779812447,0.240990754284768,6.70058823310245,2.07582214255712e-11,6.66098232729815e-09
"Os10g0322300",346.244704961035,1.13609168814913,0.171453380401577,6.62624257094369,3.44339159221579e-11,1.04438538689383e-08
"Os03g0279200",507.928305949577,1.49141275832981,0.227463613285391,6.55670916674742,5.50081446675101e-11,1.62391377477779e-08
"Os05g0568300",259.785361803808,1.87162610913078,0.288551963454588,6.4862705722858,8.79870956325604e-11,2.49759267230836e-08
"Os07g0464200",1126.03242132334,1.1455225668402,0.177348130025019,6.45917476930036,1.05275476233231e-10,2.87765965343207e-08
"Os03g0839200",77.4802461398275,1.98378332264864,0.308286389902008,6.43487155978311,1.23577783398515e-10,3.25730440741251e-08
"Os08g0427700",218.228155495332,1.54220642699029,0.242179975594179,6.36801793049385,1.91486536679505e-10,4.65901473474827e-08
"Os03g0736900",306.187155414252,2.10975020534141,0.332868513908433,6.33808881642008,2.32632721379071e-10,5.47949051495108e-08
"Os05g0215000",103.720981263452,5.51542962152953,0.871075362556736,6.33174792745937,2.42399274709861e-10,5.55435115388759e-08
"Os01g0814800",869.159309105085,1.0722644211739,0.171296981232089,6.25968078048674,3.85766303952299e-10,8.21274205366139e-08
"Os01g0919800",897.829664173265,1.5133840165193,0.242131904991436,6.25024618945954,4.09806195754379e-10,8.64144664780735e-08
"Os01g0647200",572.102282577817,6.04800853099147,0.968062154547888,6.24754154738759,4.16963392401398e-10,8.70942119920694e-08
"Os01g0603300",1128.86391094848,1.27801903674397,0.20527376534415,6.22592485016936,4.78723506369913e-10,9.90599734068808e-08
"Os11g0444400",210.41326203788,1.26559784619296,0.203497281680379,6.21923711089545,4.99577878890308e-10,1.00555943786457e-07
"Os04g0578600",49.5040070774921,9.06579892670034,1.46037376956787,6.20786206628658,5.37102597324386e-10,1.06178469708565e-07
"Os07g0100900",165.897995314402,1.2480503080749,0.2019156779728,6.18104706184838,6.36778282549551e-10,1.2476909693743e-07
"Os08g0278750",199.750808422175,1.43001836697819,0.231912078482257,6.16620909241512,6.99465809906703e-10,1.3584975874688e-07
"Os07g0509700",1221.91380192924,1.02172937420559,0.165875873992801,6.15960205430438,7.292797077663e-10,1.39198120772876e-07
"Os01g0309800",4903.57494661192,1.27446053115418,0.207561331664795,6.14016358891161,8.24365409557681e-10,1.53380458260644e-07
"Os06g0349800",141.293214641138,2.09859156540398,0.342051308501954,6.13531219802947,8.49921167882778e-10,1.56817538150772e-07
"Os01g0221900",788.524568735439,1.18729845691188,0.194331855124665,6.10964402182146,9.98536110306407e-10,1.75464984272176e-07
"Os05g0113400",2295.37097170426,1.12162359606814,0.183761551274221,6.10369028934883,1.03647036565929e-09,1.79285080984861e-07
"Os01g0363300",478.823718531974,1.85662932994173,0.30487725800994,6.08975999738622,1.13080080487714e-09,1.93684108987505e-07
"Os03g0728500",366.509398961372,1.91627086542102,0.315252065168756,6.07853548681824,1.21285143569571e-09,2.03437451801051e-07
"Os01g0520800",272.694485766698,1.09993301878233,0.181240409667434,6.06891708532683,1.28775604391068e-09,2.12777660956914e-07
"Os06g0272700",318.325973314984,1.51302731891685,0.249787071930928,6.05726832546096,1.38452534556866e-09,2.23757486687851e-07
"Os06g0608700",35920.622729599,1.75077441485949,0.289642793399638,6.04459857022523,1.49782459603996e-09,2.40314017253049e-07
