"","CK_1","CK_2","CK_3","Cd_1","Cd_2","Cd_3"
"ENSRNA049471555",99,97,69,94,44,75
"ENSRNA049471602",14,8,10,8,16,14
"ENSRNA049471381",28,29,32,24,35,36
"Os01g0873800",821,623,673,871,986,1040
"Os01g0734100",273,259,251,220,246,255
"Os01g0563000",3488,5474,4300,3617,3712,3382
"Os01g0973300",1561,1445,1128,1273,1332,1364
"Os01g0889800",1790,1567,1674,2445,2615,2699
"Os01g0878400",27,34,9,17,52,47
"Os01g0544450",20,14,36,14,8,6
"Os01g0810300",2341,2271,2033,2416,2817,3031
"Os01g0923000",1518,1579,1301,1012,1405,1593
"Os01g0647700",694,681,658,612,667,440
"Os01g0816400",4842,3892,3784,3717,3719,3542
"Os01g0688200",137,144,114,72,115,105
"Os01g0646700",1781,1825,1580,1564,1850,1855
"Os01g0633900",48,56,31,68,61,101
"Os01g0852100",326,305,323,208,283,278
"Os01g0604000",11,19,17,10,9,13
"Os01g0510500",1257,1138,1009,1231,1131,1151
"Os01g0116900",1814,1819,1302,2053,2328,2561
"Os01g0934900",14,22,14,13,10,16
"Os01g0661000",131,121,136,152,106,121
"Os01g0362533",50,92,50,100,58,78
"Os01g0229600",81,37,39,88,124,367
"Os01g0833700",181,193,136,142,163,169
"Os01g0329800",664,514,451,497,302,359
"Os01g0205100",759,955,792,774,596,689
"Os01g0275900",1118,1780,996,1072,1111,1216
"Os01g0127450",67,56,66,98,73,92
"Os01g0570700",3318,4024,3394,3144,3174,2719
"Os01g0226600",115,125,74,117,116,55
"Os01g0881966",498,505,408,516,584,453
"Os01g0164800",46,42,21,33,14,13
"Os01g0837600",7713,5917,6453,9773,12979,7593
"Os01g0221700",1332,1090,1310,1623,1894,1874
"Os01g0290700",125,99,99,55,75,49
"Os01g0200400",224,237,166,126,148,221
"Os01g0976600",883,881,665,778,536,585
"Os01g0764300",314,363,308,254,224,290
"Os01g0228300",1339,1595,1152,1193,1089,837
"Os01g0727200",67,73,40,54,26,28
"Os01g0818400",346,349,272,302,349,287
"Os01g0351300",2129,2223,1984,2043,2273,2168
"Os01g0337160",58,113,94,179,261,220
"Os01g0620400",10,2,7,7,22,16
"Os01g0299300",36,85,78,69,62,71
"Os01g0700100",573,421,351,547,354,237
"Os01g0566100",5060,4390,4865,4084,6909,6165
"Os01g0742766",24,33,13,12,13,16
"Os01g0766966",50,54,47,59,118,107
"Os01g0938200",226,171,212,208,262,292
"Os01g0868900",12,22,10,11,10,0
"Os01g0911200",4925,5109,3759,3771,3613,3393
"Os01g0898800",689,793,612,705,1212,1399
"Os01g0898600",10,26,14,22,28,12
"Os01g0926400",38,23,28,17,13,9
"Os01g0929000",101,113,86,82,75,96
"Os01g0840700",410,399,350,382,372,351
"Os01g0839500",1657,1665,1373,2028,2484,2270
"Os01g0373800",182,203,124,58,34,50
"Os01g0176000",65,82,51,57,27,61
"Os01g0834200",3462,3381,2785,2686,2242,2456
"Os01g0868200",297,365,274,280,269,292
"Os01g0182100",200,306,208,340,450,253
"Os01g0904200",1716,1513,1510,1672,1649,1698
"Os01g0825500",111,82,100,159,122,166
"Os01g0833500",43,31,36,33,17,12
"Os01g0190400",46,37,8,52,32,22
"Os01g0901900",2995,2437,2416,3161,3544,3302
"Os01g0641050",12,8,6,7,13,15
"Os01g0134700",2927,5268,3214,3241,2562,1662
"Os01g0784000",188,178,196,182,151,196
"Os01g0275600",7275,6654,6490,7570,7789,7899
"Os01g0829400",44,60,76,144,132,141
"Os01g0779400",6704,6903,5811,6027,5710,5608
"Os01g0867900",2581,2388,3148,3330,4623,4110
"Os01g0734000",62,2,5,48,8,28
"Os01g0870500",86,96,193,264,398,452
"Os01g0762300",691,689,980,1511,2231,2181
"Os01g0689900",1248,1735,1165,1134,840,848
"Os01g0668200",98,87,89,86,85,121
"Os01g0341000",34,36,27,36,45,54
"Os01g0882400",168,230,110,99,65,114
"Os01g0610050",12,22,14,47,44,26
"Os01g0862300",2307,2242,1879,1900,1694,1704
"Os01g0836600",18,20,14,12,10,18
"Os01g0203300",169,116,133,117,127,171
"Os01g0686400",257,338,167,245,237,178
"Os01g0823300",1106,1331,1083,1264,878,1027
"Os01g0673800",3478,3751,3245,4055,4198,4290
"Os01g0172400",23123,28681,17871,16636,16685,13613
"Os01g0664200",126,66,44,59,22,10
"Os01g0338200",3063,2896,2356,2192,2322,2390
"Os01g0795300",84,69,44,52,27,22
"Os01g0860900",14,18,14,6,19,28
"Os01g0760400",145,214,137,138,135,90
"Os01g0532700",136,119,112,177,160,191
"Os01g0724700",15,23,2,28,14,8
"Os01g0153700",103,212,140,172,169,165
"Os01g0624500",5898,5473,4206,4271,4966,4134
"Os01g0279800",1102,1008,846,1187,1125,1180
"Os01g0842200",14657,11289,13512,13983,20191,20572
"Os01g0745300",1153,1216,1567,1838,2317,1998
"Os01g0392100",776,962,648,857,669,692
"Os01g0535400",514,559,452,515,606,602
"Os01g0915350",1421,1177,1172,1469,1419,1562
"Os01g0810200",193,177,207,216,230,264
"Os01g0283100",2276,2538,1865,2100,2298,1968
"Os01g0709400",743,776,653,718,678,737
"Os01g0511300",1267,1138,879,955,942,854
"Os01g0829000",1902,1426,1468,2162,1955,2104
"Os01g0235800",1415,1316,1260,1349,1598,1352
"Os01g0589500",2153,2203,1917,2087,2013,2195
"Os01g0942900",747,728,585,585,405,454
"Os01g0298400",80,70,29,76,61,52
"Os01g0519100",122,166,125,147,194,161
"Os01g0924500",19,14,15,19,11,14
"Os01g0660900",169,236,185,244,265,301
"Os01g0372700",47,65,46,53,26,41
"Os01g0885700",107,129,62,18,8,6
"Os01g0208600",3766,3447,2970,2924,2910,3237
"Os01g0284900",300,273,174,203,122,138
"Os01g0612600",6115,6859,5982,7138,8641,7592
"Os01g0754100",1381,1549,1025,1400,1648,1590
"Os01g0150800",37,23,57,52,50,25
"Os01g0916350",49,16,14,20,50,31
"Os01g0550300",23032,24489,18455,22234,15854,16868
"Os01g0207200",18,30,14,28,14,20
"Os01g0167700",75,65,40,67,60,65
"Os01g0331100",21,27,25,64,20,34
