"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009522","photosystem I","13/1006","20/11744",0.65,7.58807157057654,9.02531196533986,5.44589358694563e-10,2.93533664336369e-07,2.93533664336369e-07,"Os12g0420400/Os08g0435900/Os02g0197600/Os12g0189400/Os07g0148900/Os04g0457000/Os08g0560900/Os06g0320500/Os09g0439500/Os03g0778100/Os07g0577600/Os07g0562700/Os05g0560000",13
"GO:0020037","heme binding","44/1006","210/11744",0.20952380952381,2.44597178831771,6.47152025119534,1.78495063743792e-08,4.81044196789519e-06,4.81044196789519e-06,"Os03g0233900/Os01g0227800/Os12g0111800/Os08g0507702/Os07g0518500/Os09g0457100/Os12g0139300/Os08g0507100/Os01g0728300/Os02g0110200/Os12g0448900/Os07g0676900/Os05g0162000/Os02g0218700/Os12g0443000/Os05g0101600/Os10g0439924/Os03g0570100/Os01g0561600/Os10g0109600/Os04g0171800/Os05g0320700/Os07g0677100/Os08g0113000/Os02g0467600/Os07g0218700/Os04g0688100/Os06g0547400/Os09g0471100/Os02g0814400/Os03g0226200/Os05g0499400/Os03g0225900/Os04g0434800/Os05g0494000/Os07g0677400/Os03g0417700/Os10g0378100/Os03g0223100/Os06g0294600/Os12g0150200/Os04g0688300/Os02g0186800/Os11g0112200",44
"GO:0048544","recognition of pollen","15/1006","35/11744",0.428571428571429,5.00312411246805,7.25938776749504,5.58274087211923e-08,1.00303244335742e-05,1.00303244335742e-05,"Os01g0669100/Os07g0550900/Os01g0670100/Os01g0587400/Os11g0133001/Os01g0224000/Os01g0885700/Os03g0221700/Os03g0422800/Os01g0223800/Os04g0654800/Os04g0103500/Os01g0668901/Os01g0223900/Os01g0670300",15
"GO:0005576","extracellular region","37/1006","179/11744",0.206703910614525,2.41305241178627,5.83094289987665,3.47417031729406e-07,4.68144450255374e-05,4.68144450255374e-05,"Os10g0555900/Os01g0123900/Os12g0111800/Os07g0127500/Os01g0124100/Os04g0396800/Os03g0277700/Os08g0518900/Os09g0365900/Os01g0124401/Os07g0676900/Os05g0162000/Os02g0756100/Os01g0124200/Os10g0109600/Os06g0699500/Os07g0677100/Os08g0113000/Os12g0628600/Os03g0429000/Os04g0688100/Os12g0583300/Os06g0547400/Os09g0471100/Os07g0127600/Os01g0897300/Os03g0605300/Os01g0311800/Os05g0499400/Os04g0505200/Os07g0677400/Os03g0210000/Os04g0688300/Os03g0277600/Os11g0702100/Os01g0823100/Os11g0112200",37
"GO:0006955","immune response","11/1006","23/11744",0.478260869565217,5.58319647333391,6.73405844140968,8.89940650231367e-07,9.59356020949414e-05,9.59356020949414e-05,"Os07g0538700/Os07g0550900/Os07g0541000/Os07g0537000/Os07g0628700/Os02g0710500/Os07g0542600/Os07g0541500/Os05g0493100/Os07g0628900/Os08g0343000",11
"GO:0015979","photosynthesis","22/1006","83/11744",0.265060240963855,3.09430165992,5.86053422383515,1.14647910557868e-06,0.000102992039651152,0.000102992039651152,"Os12g0420400/Os08g0435900/Os07g0147900/Os12g0274700/Os02g0197600/Os07g0544800/Os03g0323200/Os12g0189400/Os08g0504500/Os07g0148900/Os01g0208700/Os04g0457000/Os07g0105600/Os08g0560900/Os06g0320500/Os09g0439500/Os03g0778100/Os07g0577600/Os05g0401300/Os02g0578400/Os07g0562700/Os05g0560000",22
"GO:0051707","response to other organism","20/1006","76/11744",0.263157894736842,3.07209375326985,5.54682939458798,3.94210666215234e-06,0.00030354221298573,0.00030354221298573,"Os08g0508800/Os01g0669100/Os07g0550900/Os06g0191300/Os01g0670100/Os01g0587400/Os03g0772600/Os01g0224000/Os01g0885700/Os03g0221700/Os03g0422800/Os04g0654800/Os04g0103500/Os11g0211300/Os01g0668901/Os03g0738600/Os01g0223900/Os01g0670300/Os08g0509100/Os04g0109400",20
"GO:0031408","oxylipin biosynthetic process","9/1006","18/11744",0.5,5.83697813121272,6.28582451628515,5.72401013090936e-06,0.000385655182570018,0.000385655182570018,"Os08g0508800/Os05g0304600/Os02g0110200/Os12g0448900/Os02g0218700/Os02g0194700/Os03g0225900/Os03g0738600/Os08g0509100",9
"GO:0009505","plant-type cell wall","16/1006","57/11744",0.280701754385965,3.27690000348784,5.27420109488521,1.49106384893706e-05,0.000892981571752303,0.000892981571752304,"Os12g0111800/Os10g0493600/Os06g0696600/Os12g0283400/Os07g0676900/Os05g0162000/Os10g0109600/Os07g0677100/Os08g0113000/Os04g0688100/Os06g0547400/Os09g0471100/Os05g0499400/Os07g0677400/Os04g0688300/Os11g0112200",16
"GO:0005506","iron ion binding","34/1006","187/11744",0.181818181818182,2.12253750225917,4.73615521329368,1.9666512444748e-05,0.000986141565162151,0.000986141565162151,"Os01g0227800/Os08g0507702/Os07g0518500/Os09g0457100/Os12g0139300/Os07g0281700/Os08g0507100/Os01g0728300/Os02g0110200/Os02g0218700/Os12g0443000/Os03g0803500/Os05g0101600/Os10g0439924/Os03g0570100/Os10g0545200/Os01g0561600/Os04g0171800/Os06g0561000/Os05g0320700/Os02g0467600/Os07g0218700/Os08g0323400/Os03g0225900/Os05g0529700/Os07g0282300/Os05g0494000/Os03g0417700/Os10g0378100/Os03g0223100/Os06g0294600/Os10g0419400/Os12g0150200/Os02g0186800",34
