"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048544","recognition of pollen","13/574","35/11744",0.371428571428571,7.59940268790443,8.86334467972264,4.34177656107834e-09,1.69329285882055e-06,1.69329285882055e-06,"Os01g0670300/Os01g0224000/Os11g0133001/Os01g0587400/Os01g0668901/Os04g0654800/Os07g0550900/Os03g0422800/Os01g0223900/Os01g0223800/Os01g0885700/Os01g0670100/Os04g0103500",13
"GO:0051707","response to other organism","17/574","76/11744",0.223684210526316,4.57656335961856,7.09077000774564,1.05890825000222e-07,1.17860757518617e-05,1.17860757518617e-05,"Os08g0508800/Os03g0738600/Os01g0670300/Os01g0224000/Os01g0587400/Os01g0668901/Os04g0654800/Os07g0550900/Os11g0211300/Os03g0422800/Os01g0223900/Os08g0509100/Os04g0109400/Os03g0772600/Os01g0885700/Os01g0670100/Os04g0103500",17
"GO:0009073","aromatic amino acid family biosynthetic process","11/574","31/11744",0.354838709677419,7.25997527256379,7.91112566338514,1.19735021522006e-07,1.17860757518617e-05,1.17860757518617e-05,"Os01g0375200/Os06g0225800/Os01g0764400/Os04g0406600/Os07g0622200/Os03g0126000/Os06g0133900/Os07g0182100/Os03g0254800/Os03g0718000/Os09g0255400",11
"GO:0009611","response to wounding","10/574","25/11744",0.4,8.18397212543554,8.15095050243531,1.20882828224223e-07,1.17860757518617e-05,1.17860757518617e-05,"Os08g0508800/Os04g0395800/Os03g0738600/Os03g0181100/Os10g0391400/Os10g0392400/Os08g0509100/Os12g0437800/Os03g0180800/Os03g0180900",10
"GO:0007166","cell surface receptor signaling pathway","11/574","37/11744",0.297297297297297,6.08268198512101,7.01923658110568,9.24587105281269e-07,7.2117794211939e-05,7.2117794211939e-05,"Os02g0807800/Os02g0811200/Os12g0615300/Os04g0127500/Os09g0561500/Os09g0562600/Os08g0343000/Os09g0561600/Os11g0666200/Os07g0493800/Os04g0598900",11
"GO:0020037","heme binding","27/574","210/11744",0.128571428571429,2.63056246889,5.40475492244675,3.89127072904463e-06,0.000252932597387901,0.000252932597387901,"Os03g0233900/Os10g0109600/Os04g0688300/Os01g0561600/Os10g0439924/Os05g0499400/Os03g0225900/Os05g0494000/Os02g0467600/Os07g0218700/Os06g0547400/Os12g0443000/Os04g0434800/Os02g0218700/Os08g0113000/Os05g0320700/Os01g0728300/Os11g0112200/Os05g0162000/Os08g0507100/Os12g0448900/Os06g0294600/Os12g0150200/Os04g0688100/Os03g0226200/Os03g0570100/Os12g0111800",27
"GO:0006955","immune response","8/574","23/11744",0.347826086956522,7.11649750037873,6.65584619646634,7.91762319436169e-06,0.000441124720828723,0.000441124720828723,"Os07g0538700/Os07g0542600/Os07g0550900/Os05g0493100/Os08g0343000/Os07g0541500/Os02g0710500/Os07g0541000",8
"GO:0051213","dioxygenase activity","13/574","69/11744",0.188405797101449,3.85476947937181,5.39120735501465,2.45433621537217e-05,0.00116267516034708,0.00116267516034708,"Os08g0508800/Os04g0662600/Os03g0738600/Os10g0577600/Os03g0122300/Os04g0182200/Os10g0419400/Os03g0803500/Os08g0485400/Os10g0558700/Os06g0255100/Os08g0509100/Os12g0448900",13
"GO:0031347","regulation of defense response","6/574","14/11744",0.428571428571429,8.76854156296665,6.59285304624581,2.8481526910279e-05,0.00116267516034708,0.00116267516034708,"Os04g0395800/Os03g0181100/Os10g0391400/Os10g0392400/Os03g0180800/Os03g0180900",6
"GO:0006952","defense response","38/574","386/11744",0.0984455958549223,2.01419003087144,4.59283610062756,2.98121835986431e-05,0.00116267516034708,0.00116267516034708,"Os01g0850100/Os03g0159100/Os01g0561600/Os06g0586150/Os02g0121700/Os09g0526500/Os04g0634700/Os04g0514600/Os01g0841700/Os12g0628600/Os11g0207400/Os09g0357400/Os04g0578000/Os11g0702100/Os03g0289800/Os01g0508100/Os11g0211300/Os11g0614400/Os08g0507100/Os11g0684000/Os07g0541500/Os05g0533301/Os04g0109400/Os06g0128800/Os12g0448900/Os03g0179400/Os07g0541000/Os06g0614100/Os03g0772600/Os09g0517200/Os02g0282000/Os02g0612200/Os05g0571200/Os06g0726100/Os01g0721300/Os06g0585950/Os12g0467300/Os02g0231700",38
"GO:2000022","","7/574","22/11744",0.318181818181818,6.509977827051,5.86380099924446,5.75821706722878e-05,0.00197817141756731,0.00197817141756731,"Os04g0395800/Os03g0181100/Os10g0391400/Os03g0289800/Os10g0392400/Os03g0180800/Os03g0180900",7
"GO:0005576","extracellular region","22/574","179/11744",0.122905027932961,2.51462830669807,4.62890913869386,6.0866812848225e-05,0.00197817141756731,0.00197817141756731,"Os10g0109600/Os04g0688300/Os01g0311800/Os01g0124200/Os05g0499400/Os03g0277700/Os12g0628600/Os01g0823100/Os06g0547400/Os03g0277600/Os01g0124401/Os11g0702100/Os08g0113000/Os11g0112200/Os05g0162000/Os09g0365900/Os07g0127600/Os04g0688100/Os07g0127500/Os01g0124100/Os12g0111800/Os10g0555900",22
"GO:0006979","response to oxidative stress","13/574","77/11744",0.168831168831169,3.45427394904747,4.89787493377473,8.14991599053135e-05,0.00244497479715941,0.00244497479715941,"Os10g0109600/Os04g0688300/Os05g0499400/Os06g0547400/Os04g0434800/Os08g0113000/Os11g0112200/Os05g0162000/Os12g0448900/Os12g0106000/Os04g0688100/Os03g0437200/Os12g0111800",13
"GO:0008652","amino acid biosynthetic process","16/574","112/11744",0.142857142857143,2.92284718765555,4.63495450957599,0.000104037641049097,0.00289819142922483,0.00289819142922483,"Os03g0231600/Os01g0375200/Os06g0225800/Os01g0764400/Os04g0406600/Os10g0419400/Os07g0622200/Os12g0623900/Os03g0291500/Os03g0126000/Os07g0182100/Os08g0447000/Os03g0254800/Os03g0718000/Os03g0157900/Os09g0255400",16
