"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"dosa00195","Photosynthesis","17/291","42/3743",0.404761904761905,5.20626738667976,7.95838549312085,3.75572678097644e-09,3.9059558522155e-07,3.9059558522155e-07,"Os04g0414700/Os07g0435300/Os03g0333400/Os07g0544800/Os12g0189400/Os07g0105600/Os03g0835900/Os09g0481200/Os07g0147900/Os03g0778100/Os04g0412200/Os12g0420400/Os06g0101600/Os02g0578400/Os05g0560000/Os07g0148900/Os08g0560900",17
"dosa00940","Phenylpropanoid biosynthesis","22/291","83/3743",0.265060240963855,3.40934873514677,6.44408353340916,1.59937922844011e-07,8.31677198788856e-06,8.31677198788856e-06,"Os07g0677400/Os09g0471100/Os05g0162000/Os06g0547400/Os11g0112200/Os02g0467600/Os07g0676900/Os10g0109600/Os07g0677100/Os08g0448000/Os05g0499400/Os04g0688300/Os02g0626400/Os08g0113000/Os03g0235000/Os02g0627100/Os05g0494000/Os10g0578950/Os09g0399800/Os09g0400400/Os04g0688100/Os05g0320700",22
"dosa00400","Phenylalanine, tyrosine and tryptophan biosynthesis","14/291","38/3743",0.368421052631579,4.73883161512028,6.72506662258956,3.79736856051217e-07,1.31642110097755e-05,1.31642110097755e-05,"Os01g0871300/Os09g0255400/Os07g0182100/Os01g0764400/Os06g0542200/Os04g0406600/Os06g0225800/Os07g0622200/Os03g0126000/Os01g0375200/Os01g0375500/Os03g0254800/Os06g0133900/Os03g0718000",14
"dosa00999","Biosynthesis of various plant secondary metabolites","14/291","40/3743",0.35,4.50189003436426,6.46425732948549,7.89728933290445e-07,2.05329522655516e-05,2.05329522655516e-05,"Os04g0167800/Os05g0135700/Os10g0113000/Os05g0366600/Os06g0683300/Os01g0293000/Os01g0930800/Os01g0375200/Os01g0375500/Os04g0513400/Os05g0365600/Os04g0474900/Os11g0441500/Os01g0508000",14
"dosa00592","alpha-Linolenic acid metabolism","13/291","36/3743",0.361111111111111,4.64480717831233,6.37936582719057,1.31336373591511e-06,2.73179657070342e-05,2.73179657070342e-05,"Os08g0508800/Os08g0509100/Os06g0354500/Os03g0225900/Os02g0110200/Os09g0502500/Os01g0369900/Os02g0194700/Os12g0448900/Os05g0304600/Os11g0210500/Os02g0218700/Os10g0457600",13
"dosa00196","Photosynthesis - antenna proteins","7/291","14/3743",0.5,6.43127147766323,5.91061034944573,3.40777086301207e-05,0.000590680282922093,0.000590680282922093,"Os08g0435900/Os02g0197600/Os06g0320500/Os09g0439500/Os07g0577600/Os04g0457000/Os07g0562700",7
"dosa01230","Biosynthesis of amino acids","29/291","178/3743",0.162921348314607,2.09558284103633,4.34798911672365,7.82435538055756e-05,0.00116247565653998,0.00116247565653998,"Os04g0306400/Os03g0231600/Os01g0871300/Os09g0255400/Os05g0135700/Os07g0182100/Os12g0623900/Os01g0660300/Os01g0764400/Os01g0293000/Os03g0136900/Os01g0118000/Os04g0266900/Os06g0542200/Os04g0406600/Os04g0516600/Os01g0814800/Os06g0225800/Os03g0781400/Os07g0622200/Os03g0126000/Os01g0375200/Os02g0657600/Os01g0375500/Os03g0254800/Os06g0133900/Os02g0194100/Os03g0718000/Os06g0608700",29
"dosa00941","Flavonoid biosynthesis","7/291","18/3743",0.388888888888889,5.00210003818251,4.94110458960077,0.000240498016929953,0.00312647422008939,0.00312647422008939,"Os04g0630800/Os02g0467600/Os11g0530600/Os12g0240900/Os05g0494000/Os04g0630600/Os05g0320700",7
"dosa00030","Pentose phosphate pathway","10/291","47/3743",0.212765957446809,2.73671126709074,3.47835226215425,0.00268483501938087,0.0305319104340355,0.0305319104340355,"Os04g0306400/Os01g0118000/Os04g0266900/Os03g0781400/Os02g0600400/Os06g0111500/Os10g0189100/Os06g0664200/Os01g0866400/Os06g0608700",10
"dosa00591","Linoleic acid metabolism","5/291","14/3743",0.357142857142857,4.59376534118802,3.91093442971189,0.00305757501520421,0.0305319104340355,0.0305319104340355,"Os08g0508800/Os08g0509100/Os03g0738600/Os02g0194700/Os05g0304600",5
"dosa00710","Carbon fixation by Calvin cycle","12/291","64/3743",0.1875,2.41172680412371,3.30703465714873,0.00322933668052299,0.0305319104340355,0.0305319104340355,"Os04g0306400/Os01g0208700/Os01g0118000/Os04g0266900/Os04g0459500/Os03g0781400/Os01g0829800/Os12g0274700/Os06g0664200/Os01g0866400/Os08g0434300/Os06g0608700",12
"dosa00945","Stilbenoid, diarylheptanoid and gingerol biosynthesis","4/291","10/3743",0.4,5.14501718213058,3.81031019481415,0.00515909175577369,0.0430746540273839,0.0430746540273839,"Os07g0526400/Os02g0467600/Os05g0494000/Os05g0320700",4
"dosa00960","Tropane, piperidine and pyridine alkaloid biosynthesis","6/291","22/3743",0.272727272727273,3.50796626054358,3.42504425689995,0.00538433175342299,0.0430746540273839,0.0430746540273839,"Os01g0871300/Os02g0823400/Os04g0476100/Os11g0438700/Os04g0269100/Os04g0269600",6
