# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "8" "-p" "-B" "-C" "-t" "exon" "-g" "gene_id" "-a" "/mnt/d/Nancy/Project/annotation/genes.gtf" "-o" "/mnt/d/Nancy/Project/05_featurecounts/gene_counts.txt" "SRR9113519.sorted.bam" "SRR9113520.sorted.bam" "SRR9113521.sorted.bam" "SRR9113522.sorted.bam" "SRR9113523.sorted.bam" "SRR9113524.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR9113519.sorted.bam	SRR9113520.sorted.bam	SRR9113521.sorted.bam	SRR9113522.sorted.bam	SRR9113523.sorted.bam	SRR9113524.sorted.bam
ENSRNA049442722	1	182074	182154	+	81	0	0	0	0	0	0
ENSRNA049442424	1	14454630	14454702	+	73	0	0	0	0	0	0
ENSRNA049442327	1	18689348	18689419	+	72	0	0	0	0	0	0
ENSRNA049442288	1	24373570	24373640	+	71	0	0	0	0	0	0
ENSRNA049442195	1	30107880	30107952	+	73	0	0	0	0	0	0
ENSRNA049442095	1	31523663	31523735	+	73	0	0	0	0	0	0
ENSRNA049441959	1	33563582	33563654	+	73	0	0	0	0	0	0
ENSRNA049441928	1	34942529	34942602	+	74	0	0	0	0	0	0
ENSRNA049441839	1	36016463	36016535	+	73	6	3	0	1	0	0
ENSRNA049441771	1	36115211	36115283	+	73	0	0	0	0	0	0
ENSRNA049441659	1	39247233	39247306	+	74	0	0	0	0	0	0
ENSRNA049441592	1	42300401	42300473	+	73	0	0	0	0	0	0
ENSRNA049441495	1	43025641	43025714	-	74	0	0	0	0	0	0
ENSRNA049441421	1	42318166	42318238	-	73	0	0	0	0	0	0
ENSRNA049441339	1	40793762	40793842	-	81	0	0	0	0	0	0
ENSRNA049441259	1	40086054	40086126	-	73	0	0	0	0	0	0
ENSRNA049441102	1	37693591	37693662	-	72	0	0	1	0	0	0
ENSRNA049440716	1	35264198	35264278	-	81	0	0	0	0	0	0
ENSRNA049440515	1	33589412	33589483	-	72	0	0	0	0	0	0
ENSRNA049451109	1	31107715	31107787	-	73	0	0	0	0	0	0
ENSRNA049451059	1	27749216	27749297	-	82	0	0	0	0	0	0
ENSRNA049451040	1	26041053	26041126	-	74	0	0	0	0	0	0
ENSRNA049450992	1	18997470	18997543	-	74	0	0	0	0	0	0
ENSRNA049450965	1	14797348	14797428	-	81	0	0	0	0	0	0
ENSRNA049450913	1	3516689	3516760	-	72	0	0	0	0	0	0
ENSRNA049450896	1	2391023	2391103	-	81	0	0	0	0	0	0
ENSRNA049471498	1	22444199	22444323	+	125	0	0	0	0	0	0
ENSRNA049471512	1	27100631	27100783	+	153	8	7	10	3	10	0
ENSRNA049471527	1	28888769	28888831	+	63	2	1	4	4	3	4
ENSRNA049471535	1	24615788	24616027	+	240	2	2	2	0	0	4
ENSRNA049471546	1	27236128	27236278	-	151	0	0	0	0	0	0
ENSRNA049471555	1	27609521	27609600	-	80	69	94	99	75	97	44
ENSRNA049471560	1	26823280	26823472	-	193	0	0	0	0	0	0
ENSRNA049471578	1	25390346	25390469	+	124	0	0	0	0	0	0
ENSRNA049471602	1	23323571	23323888	+	318	10	8	14	14	8	16
